case_id,side,hemisphere,landmark,alpha_deg,alpha_signed_deg,Jx,Jy,J_norm,J_share
31_0,left,24,ost_point,7.564960330674568,-7.564960330674568,-0.0007147078169646298,-0.003027523141772681,0.003110740046612618,0.035008086130146346
31_0,left,24,knee_outer,7.564960330674568,-7.564960330674568,0.02695971183442561,8.18598049952539e-05,0.026959836112687,0.30340441520188194
31_0,left,24,ankle_inner,7.564960330674568,-7.564960330674568,-0.011427673180611567,0.0014779778048987112,0.011522852629216521,0.12967750800902264
31_0,left,24,ankle_outer,7.564960330674568,-7.564960330674568,-0.011427673180611567,0.0014779778048987112,0.011522852629216521,0.12967750800902264
31_0,right,25,femur_head,8.15738118802255,8.15738118802255,-0.019589597359445765,0.0008123159100358137,0.01960643215485423,0.21637178691582257
31_0,right,25,knee_inner,8.15738118802255,8.15738118802255,0.01642644303567623,-0.0006811503461934506,0.01644055949773108,0.18143399106600075
31_0,right,25,ost_point,8.15738118802255,8.15738118802255,-0.0006040382088621614,0.0033833376391562905,0.00343683513400004,0.03792807143111744
31_0,right,25,knee_outer,8.15738118802255,8.15738118802255,0.02737740505946038,-0.0011352505769890845,0.027400932496218465,0.30238998511000126
31_0,right,25,ankle_inner,8.15738118802255,8.15738118802255,-0.011805106263414343,-0.0011896263130047845,0.011864895475944907,0.130938082738529
31_0,right,25,ankle_outer,8.15738118802255,8.15738118802255,-0.011805106263414343,-0.0011896263130047845,0.011864895475944907,0.130938082738529
47_0,left,26,femur_head,8.975525286631186,-8.975525286631186,-0.020270237973089644,-0.0008709293470128365,0.0202889394846841,0.21457227462351589
47_0,left,26,knee_inner,8.975525286631186,-8.975525286631186,0.01707072808645737,0.0007334594731995578,0.01708647770023391,0.18070359903290206
47_0,left,26,ost_point,8.975525286631186,-8.975525286631186,-0.0006478989762391703,-0.0038860140811638483,0.003939654619686283,0.04166509805085015
47_0,left,26,knee_outer,8.975525286631186,-8.975525286631186,0.028451213477428954,0.0012224324553325966,0.028477462833723186,0.3011726650548368
47_0,left,26,ankle_inner,8.975525286631186,-8.975525286631186,-0.012301902307278755,0.0014005257498222652,0.012381367967787145,0.13094318161894752
47_0,left,26,ankle_outer,8.975525286631186,-8.975525286631186,-0.012301902307278755,0.0014005257498222652,0.012381367967787145,0.13094318161894752
47_0,right,27,femur_head,10.996339385001022,10.996339385001022,-0.020401345978389083,0.000348023081835303,0.020404314195665154,0.2126418114229971
47_0,right,27,knee_inner,10.996339385001022,10.996339385001022,0.017231630138981116,-0.0002939514398886652,0.01723413719034565,0.17960408349554313
47_0,right,27,ost_point,10.996339385001022,10.996339385001022,-0.0012081903998553585,0.004725657114038901,0.004877659192867941,0.05083210718720565
47_0,right,27,knee_outer,10.996339385001022,10.996339385001022,0.028719383564968524,-0.0004899190664811086,0.02872356198390941,0.2993401391592385
47_0,right,27,ankle_inner,10.996339385001022,10.996339385001022,-0.0121707386628526,-0.0021449048447522152,0.012358296662262831,0.1287909293675078
47_0,right,27,ankle_outer,10.996339385001022,10.996339385001022,-0.0121707386628526,-0.0021449048447522152,0.012358296662262831,0.1287909293675078
15_0,left,28,femur_head,4.806171182253677,4.806171182253677,-0.019782841224939667,0.0009382962148222944,0.019805080325964907,0.21750077641102653
15_0,left,28,knee_inner,4.806171182253677,4.806171182253677,0.01661741389398305,-0.0007881606276657184,0.016636094544662316,0.18269875306526984
15_0,left,28,ost_point,4.806171182253677,4.806171182253677,0.0002645623353062579,0.002061526432681103,0.002078433174751013,0.022825498396697647
15_0,left,28,knee_outer,4.806171182253677,4.806171182253677,0.027695689823305083,-0.0013136010461095304,0.027726824241103863,0.30449792177544976
15_0,left,28,ankle_inner,4.806171182253677,4.806171182253677,-0.012397412413827361,-0.00044903048686407423,0.01240554162205964,0.13623852517577809
15_0,left,28,ankle_outer,4.806171182253677,4.806171182253677,-0.012397412413827361,-0.00044903048686407423,0.01240554162205964,0.13623852517577809
15_0,right,29,femur_head,5.635465851768154,5.635465851768154,-0.019899893274413306,0.00045376102475823995,0.019905065973280008,0.21656582017268128
15_0,right,29,knee_inner,5.635465851768154,5.635465851768154,0.01683006641533317,-0.0003837622683730683,0.01683444115565326,0.1831576223317601
